ID_item,item,img,training,crit,chp46vl70814,apzvrxiaap22,dp0g9nbjr8wo,ch1i36lf3gb1,mrb0s0ckbda9,bkl2178x4saf,s8hbr6g15kfh,6wstjp4wezt4,9ohtsd1826k8,p4km3aw4hdmt,rixs8hohxtip,d363es3nvfvq,t6pxayhn7es0,p8j3krfjtc18,45v39tkqnh0b,u9zfucz7zuwn,oszy5gk8fkit,4onztfuwyeet,cpgixk1g8s99,wq9cvsm023n7,uxc38enxb0sl,mo6b50e8cl78,hzeafke8f5ke,mr8c5sfjy7bc,9g1zjvfjm5ie,9y9ydj97huhc,tcrqt6ih5i2s,pq5u101ioebi,jpx3htsbrf1n,bx2kflenfbbi,dm6c9jbelxv7,34tcwd0j5qgq,uyfz2oyo6483,xic5dq81cqld,m7iifwqavf3f,exre9dksey03,yz6r3zc0isf5,8f6bbs5a58p2,0xhc0yxm5czl,uh7i5dewrmic,wl5925o0j4iv,a3eokjk1z75r,tk04u7pmrsvp,s2edlrqnhaz8,2qewr80masfh,xhkz4vsry78k,rsulb3mqq6p4,u13d9hi208ge
1,Aoudad,01.png,0,335,2000,1500,1200,700,257,1000,750,600,570,900,1600,700,1000,936,400,670,770,670,1350,1285,867,600,495,1250,500,470,800,670,850,670,1000,3000,800,980,900,570,760,1500,600,1350,750,2000,600,880,600,700,730,700
2,Brazilian tapir,02.png,0,1095,550,500,1200,600,321,570,550,700,730,900,1500,300,1200,638,1500,720,624,670,1500,450,600,700,326,1465,1200,450,1400,500,1360,3000,766,980,1200,2399,600,600,1200,1000,800,802,560,720,400,456,590,700,1100,700
3,American bison,03.png,0,912,3000,2000,2500,360,875,1095,2750,1400,700,1500,1400,1400,800,2747,1850,1475,3564,1475,1500,2400,1239,1400,3412,3567,1200,780,3200,1500,1469,2000,1800,2800,1500,1560,3550,2000,750,1300,1500,3520,1566,4000,1500,578,1500,1300,678,570
4,Giant anteater,04.png,0,1186,750,250,1500,500,432,730,690,1000,730,670,689,380,800,1845,450,296,130,236,3541,500,567,400,314,800,400,600,230,1180,980,500,760,650,2000,999,790,600,450,400,500,450,550,550,400,450,900,1400,564,400
5,Ibex,05.png,0,797,700,2000,650,350,543,730,1400,700,639,900,670,580,600,836,1800,760,689,670,700,1500,573,600,674,660,550,470,400,600,1360,700,450,1300,700,1500,1000,600,560,1300,640,1256,720,720,2000,340,1500,800,1100,570
6,Thomson's gazelle,06.png,0,365,1200,1250,750,400,270,365,1200,800,548,600,386,680,600,1326,1600,670,855,670,1200,650,562,600,1349,696,1200,560,1200,1200,565,1200,970,1000,1200,850,1440,600,300,550,600,1232,700,1080,900,670,900,600,500,1500
7,Llama,07.png,0,800,1200,700,750,600,432,1095,675,700,182,600,670,700,1000,970,2000,700,3025,180,1575,650,1134,1200,528,3400,1200,450,1400,1200,930,1200,1543,1300,800,2800,1200,1000,460,1200,1800,963,1500,720,800,2000,2000,1100,350,1500
8,Kirk's dik-dik,08.png,0,213,700,1200,700,400,140,180,1500,800,182,500,780,400,300,537,100,1460,620,670,450,650,644,400,615,1287,550,550,320,600,220,400,430,450,800,2100,650,700,290,900,450,450,720,720,1500,200,900,700,270,800
9,Red panda,09.png,1,550,550,500,550,550,550,550,550,550,550,550,564,550,500,550,360,550,550,550,550,550,550,550,650,580,550,570,400,550,550,550,550,550,550,550,550,550,570,367,550,531,550,550,600,550,500,550,550,550
10,African buffalo,10.png,1,1475,1500,1475,1500,1475,8675,1475,3000,1475,1475,1475,1475,1400,2000,2423,1500,1475,1475,1475,1475,1268,1475,1489,2461,1278,1200,1476,999,1475,1475,1200,1475,1475,1475,1475,1475,1470,1175,2813,1475,1256,1475,4000,2000,1475,1400,1500,1475,1475
11,Bactrian camel,11.png,0,1278,2000,2000,2500,1500,768,2000,2900,800,1096,5000,2200,1000,800,1537,3500,1470,1125,280,3500,1450,1380,1800,1284,3800,1200,780,3700,4000,1500,1300,2050,3654,4000,5400,2444,2500,1475,3000,3500,2514,1500,1090,900,1800,2600,1300,1500,5000
12,Dromedary,12.png,0,1095,2000,1250,1500,3000,643,1095,1280,1700,1096,4000,1400,700,1200,852,2000,550,1340,570,2543,900,1278,1800,1429,1248,700,600,1200,4000,1660,1200,1743,160,3000,4000,3000,2000,650,2000,1600,2302,1500,720,500,1400,700,1700,420,4000
13,Mule deer,13.png,0,478,750,365,650,400,345,670,700,800,639,390,670,400,500,790,1200,540,653,670,750,750,567,600,590,280,550,470,650,700,1000,550,540,675,600,700,480,670,450,900,450,1278,760,550,2000,1300,790,600,200,1000
14,Caribou and reindeer,14.png,0,662,1250,2000,1000,700,657,1095,1500,500,362,800,760,700,600,1372,500,670,987,570,1579,1200,1130,900,317,696,2000,450,2000,1180,1300,700,980,1500,1200,1500,1000,1000,1100,1500,1200,1250,1500,760,2000,1500,1200,600,567,1000
15,Giraffe,15.png,0,1278,3000,2000,1200,4000,1345,1825,3000,2000,1090,4000,2600,1200,3500,3159,3000,760,1240,3800,1500,1000,3001,1400,2960,3897,2000,800,4200,4000,1700,2000,1657,3500,2056,3500,4000,3000,1175,3000,3500,1420,3500,3000,900,800,2500,1400,450,2000
16,Hippopotamus,16.png,0,1279,4000,2500,2500,3000,700,1825,4200,3000,1822,3000,3200,600,1200,3743,2800,2160,1324,4600,3000,3500,1480,3000,1642,4567,2000,679,3400,1500,1900,2000,3600,5000,2000,600,2900,2000,1200,2800,3500,2450,460,4000,2000,800,3900,3000,1500,2000
17,Wart hog,17.png,1,578,670,675,750,550,578,578,559,578,578,578,1475,570,578,578,850,578,578,578,700,675,578,580,750,600,578,600,600,670,578,578,555,567,578,570,578,570,450,550,578,1178,576,4000,900,578,1186,578,578,578
18,Wild boar,18.png,0,334,550,600,750,600,432,365,550,600,578,600,790,580,1000,760,660,578,580,480,900,650,580,600,770,1150,300,670,340,1200,680,1200,435,1002,1100,1578,1300,1500,500,750,650,1240,1500,2090,1000,578,580,1400,567,600
19,Gray wolf,19.png,0,669,700,1000,1500,700,343,730,1200,600,547,500,700,600,500,856,1800,550,350,436,1000,650,980,1100,1245,1378,400,365,1200,1100,1035,800,450,950,875,1200,1100,600,750,2000,650,1250,720,3000,1700,300,500,1200,750,1200
20,African wild dog,20.png,0,639,700,650,900,300,324,730,650,500,730,500,680,580,500,738,2000,578,824,380,560,650,468,1200,719,1240,400,400,1200,670,730,340,960,560,1200,670,650,550,550,1000,450,860,720,720,900,600,600,1200,365,2000
21,Raccoon dog,21.png,0,304,200,600,900,600,654,300,550,600,300,600,500,550,600,529,600,290,345,180,650,400,275,900,194,578,400,400,1200,550,250,800,649,547,1300,450,300,700,370,400,450,805,550,720,600,350,560,1300,365,500
22,Bat-eared fox,22.png,0,365,550,675,650,350,211,365,550,700,243,480,687,550,800,946,360,570,776,670,678,450,320,450,318,578,1200,430,450,650,420,670,540,356,1100,2300,480,1200,540,560,650,610,720,360,600,300,450,600,250,700
23,Cheetah,23.png,0,456,900,1200,1500,1300,468,547,1400,1300,600,1200,860,1200,1000,1115,2500,1268,1270,1268,1200,850,1178,1200,1862,1268,2000,550,1100,1180,1095,1200,1034,980,1200,1100,1000,1200,580,1200,1200,1280,1000,780,2000,550,1200,1300,600,1300
24,Lion,24.png,0,1095,1200,1300,1200,1200,540,1095,2050,1300,1096,1000,1300,1500,800,1463,3580,1268,1340,1896,3000,1500,1390,1238,1831,1245,2000,550,1100,1200,1400,2000,1300,1500,1300,1300,1350,1500,1275,1200,1400,2560,1150,3400,1500,2000,1200,1400,110,2000
25,Leopard,25.png,0,937,700,1250,1500,1200,765,730,1500,1300,910,1400,1300,1200,1000,1530,2000,1268,1312,1268,1500,1200,1234,1200,2486,1300,2000,600,1500,1200,830,2000,1234,1200,1400,1300,1200,1200,1200,1200,1200,1520,800,720,1500,1200,1300,1300,90,1300
26,Tiger,26.png,1,1268,1250,1200,1200,1260,1268,1268,1268,1268,1268,1268,1256,1200,2000,1273,1800,1268,1268,1268,1268,1268,1268,1280,1480,1268,2000,670,1300,1268,1268,3000,1128,1178,1268,1267,1268,1200,1275,1200,1268,1231,1168,700,1500,1268,1268,1200,1268,1268
27,Dwarf mongoose,27.png,0,456,230,200,400,150,120,300,550,300,356,400,560,280,800,368,400,290,245,236,350,550,254,550,231,380,320,250,220,152,500,340,432,300,700,600,240,380,280,200,190,750,360,360,150,250,270,400,400,230
28,Meerkat,28.png,0,365,280,200,550,200,540,300,350,300,365,230,440,230,300,510,200,290,312,550,250,400,164,400,680,346,200,250,400,380,630,300,450,450,580,365,440,670,400,400,200,560,360,250,200,243,200,500,456,300
29,Spotted hyena,29.png,0,1095,550,1000,950,600,435,1095,650,900,730,1000,890,500,800,845,1500,1095,865,670,800,750,830,1000,1374,1200,500,400,1100,1200,1110,1200,760,800,1200,990,1850,670,650,1200,650,450,560,2070,1400,560,1200,1200,750,1300
30,Sea otter,30.png,0,974,350,600,650,700,267,1095,290,600,243,800,1500,550,500,1226,800,1095,678,480,790,300,987,600,594,458,300,460,200,550,2100,300,1120,970,600,2900,880,550,450,700,550,650,357,720,400,200,400,700,567,300
31,Least weasel,31.png,0,120,250,280,360,150,231,180,240,300,91,160,560,280,500,426,258,296,160,178,350,400,137,400,164,350,300,240,320,380,110,250,367,670,800,288,400,236,160,280,300,680,300,360,500,200,650,400,100,300
32,Steller sea lion,32.png,0,1780,700,670,1500,1500,853,1825,2000,1600,1461,550,2100,300,1000,1852,1000,2800,2914,2831,2890,740,1167,600,2125,1500,400,460,700,1000,2190,1200,670,1100,2500,1040,1440,1000,670,1400,650,250,760,550,1900,2000,800,3000,270,400
33,Harbor seal,33.png,0,1095,700,490,400,360,320,1460,850,2800,1096,800,1400,500,800,1256,1580,670,2564,300,489,400,578,1200,1489,350,300,600,350,3000,2100,550,768,400,1200,300,2300,1000,800,1200,500,268,1120,550,800,600,750,2800,1095,3000
34,Common raccoon,34.png,0,365,300,675,600,400,547,300,550,500,365,220,380,150,900,735,470,360,150,180,345,420,370,550,217,600,400,300,260,300,730,550,570,550,875,550,220,550,450,450,250,780,450,550,250,600,550,700,65,300
35,Brown bear,35.png,0,1313,3000,950,900,700,432,1825,2050,1500,1460,400,2100,1000,900,3125,3000,1400,2678,550,1200,3500,370,1800,1475,2228,2000,2000,790,4000,2800,1800,2650,4500,1400,999,2440,3000,850,3000,1600,1250,4000,2060,2500,3000,1900,1500,1500,2000
36,Polar bear,36.png,0,1734,4000,1000,2000,600,320,1825,2300,1100,1461,2300,2600,680,1200,3256,3000,1095,897,196,2500,2400,564,1200,2638,2276,1200,3500,2300,2500,1700,2000,2678,5000,1800,1100,4000,2000,600,3900,2500,1750,4000,2060,2000,2800,2800,2000,540,1500
37,Humpback whale,37.png,0,1643,5000,5500,5000,4000,2731,3650,3500,3000,2831,3500,3650,3000,4000,5300,5000,1825,2654,2831,4000,4000,5079,5000,4123,6077,1200,2000,3000,4200,3600,390,3500,6500,2500,2100,8000,2800,4800,4010,4500,4200,4000,2000,3000,6000,5000,4000,2000,8000
38,Bottlenosed dolphin,38.png,1,2831,2831,2500,2500,2900,2831,2831,2800,2831,2831,2831,2834,2800,2000,2147,2000,2831,2831,2831,2831,2836,2831,2832,1824,2831,1200,2831,300,2811,2831,2000,2896,2876,2900,2830,2831,2800,2815,2831,2831,2831,2831,2090,1500,2831,2800,2831,2831,2831
39,Australian tiger cat,39.png,0,340,350,380,300,150,212,200,195,400,150,900,230,180,300,428,500,296,156,180,435,422,140,550,187,250,230,150,200,200,320,320,340,305,400,450,330,152,400,150,160,562,150,350,160,200,450,300,365,300
40,Tasmanian devil,40.png,0,730,230,380,500,350,543,365,168,250,730,200,450,70,300,487,350,290,178,152,323,200,145,1000,550,550,230,200,250,250,1095,300,854,499,400,1800,588,150,450,250,160,502,750,550,700,200,370,300,21,300
41,Western gray kangaroo,41.png,1,670,1250,650,670,670,670,670,670,670,670,670,670,670,1000,834,1180,670,670,670,670,1268,578,680,670,670,670,670,700,900,670,670,670,670,670,670,670,670,670,670,670,805,578,670,600,670,670,670,670,670
42,Quokka,42.png,0,252,230,200,680,200,90,200,550,300,365,500,560,280,200,235,600,290,240,152,550,350,160,160,186,240,320,580,370,380,720,400,340,700,800,340,329,152,250,250,220,250,200,360,400,400,300,300,365,300
43,Sugar glider,43.png,1,236,280,230,300,236,236,236,236,236,236,236,236,236,300,236,367,236,236,236,236,380,236,236,270,236,250,270,220,236,236,280,340,238,236,236,236,236,150,152,236,230,236,152,236,236,236,236,236,236
44,Brush-tailed possum,44.png,0,315,230,300,600,400,654,365,500,200,296,323,300,550,250,370,400,150,240,236,200,400,123,400,280,378,430,300,340,550,450,550,500,382,1052,280,200,1200,260,350,250,860,300,260,200,200,550,400,15,300
45,Koala,45.png,0,646,250,400,550,400,200,300,650,300,670,550,670,700,1000,836,970,290,344,380,875,650,154,700,642,357,500,2000,210,600,830,550,1200,986,400,450,790,550,400,550,350,602,640,350,700,1200,320,300,750,300
46,Mountain hare,46.png,0,266,260,100,500,150,60,180,550,400,243,200,450,380,200,372,300,365,180,180,200,400,287,260,274,396,300,250,800,380,365,400,450,200,600,300,180,550,90,220,150,780,100,720,100,200,350,400,50,300
47,European rabbit,47.png,0,730,152,150,360,100,45,180,375,300,90,200,360,550,200,185,205,365,178,180,200,200,140,280,162,570,300,150,300,300,160,500,350,298,300,250,110,550,80,200,250,250,150,360,100,200,300,30,150,300
48,Duck-billed platypus,48.png,0,548,350,400,600,350,121,670,500,500,726,400,340,300,1000,625,500,295,190,560,650,650,157,2000,189,500,200,290,1400,1180,550,300,560,546,2000,390,770,500,670,700,230,1250,760,360,400,550,700,700,730,500
49,Short-beaked echidna,49.png,0,548,350,200,450,500,321,150,450,400,724,300,450,300,300,488,700,1825,132,180,650,240,187,700,258,390,300,160,300,300,1635,300,800,300,550,345,440,550,280,200,230,1420,550,360,160,100,190,400,800,300
50,Horse,50.png,0,914,1200,700,700,250,650,547,1500,1300,365,3000,1900,1300,1200,1844,2050,1095,1520,670,1500,1475,1189,2000,780,2386,2000,690,2000,700,1600,1200,2457,256,1400,4500,3000,2000,1200,3000,1400,1500,1400,4000,1500,200,2200,1400,320,1500
51,Quagga,51.png,0,900,700,900,2000,400,656,1095,1675,900,730,890,2400,600,800,1745,1750,1475,1368,670,1200,700,1238,1400,672,2396,1400,800,2800,1000,1400,700,1430,1400,1200,4230,1350,1200,750,2100,1200,1250,760,3050,1500,1500,1500,1400,1200,600
52,White rhinoceros,52.png,0,1643,3500,2000,4000,4000,650,2190,4018,2000,1080,1200,3200,600,1200,3837,3000,1475,1569,1408,3500,5000,3510,3800,2186,3897,2000,800,3800,3000,2555,2000,2675,5000,4000,535,4000,1500,2000,4000,4000,2680,2500,1500,1000,1475,3500,4000,1580,2000
53,Central American spider monkey,53.png,0,1825,1200,1190,1200,1000,875,1825,750,1300,1461,700,1100,1100,500,790,800,1186,1234,1186,500,1200,570,1180,734,2100,1200,1280,1200,1200,1525,1200,670,359,1400,1200,1190,1100,700,700,500,1252,1200,4000,1500,1000,1000,1300,1460,2000
54,White-tufted-ear marmoset,54.png,0,477,230,400,800,600,326,365,350,400,547,240,700,380,300,523,450,500,134,550,500,650,236,700,186,900,550,1200,230,1180,360,300,500,650,1100,400,200,550,280,700,500,650,540,250,300,200,280,600,140,500
55,Midas tamarin,55.png,0,608,230,400,200,400,376,250,296,600,468,500,980,236,300,374,360,720,302,152,550,266,258,500,340,578,340,1000,500,450,730,200,450,300,600,400,390,550,280,600,240,345,550,360,900,200,500,1200,600,400
56,Tufted capu,56.png,0,1703,600,1500,1200,500,654,1825,950,1200,1460,600,1000,1100,670,720,5600,1186,986,1186,760,850,576,800,580,1578,1200,1200,1200,1100,2555,1200,890,860,1200,1100,1200,1200,800,700,650,1032,1100,680,900,300,800,1200,150,1500
57,De Brazza's monkey,57.png,0,1611,1200,900,1200,700,540,400,750,1300,1186,700,1186,1000,400,758,1000,2190,1190,1186,550,655,476,1400,350,1700,1200,1200,1000,1200,1825,1200,650,900,1200,1000,1800,1200,700,700,450,1405,1500,550,2000,1000,670,1200,1550,1200
58,Guereza,58.png,0,1461,800,400,1500,1500,547,730,675,1300,1095,700,1000,400,400,836,800,370,790,296,700,600,679,1180,344,1600,1200,1100,1200,550,1800,1200,670,900,800,1780,1800,1000,1200,700,650,670,1120,1080,1600,250,700,1300,1500,1200
59,Stump-tailed macaque,59.png,1,1186,1200,1200,1175,1200,1186,1186,750,1186,1186,1186,1200,1100,800,725,980,1186,1186,1186,500,450,1186,1132,1240,1186,1200,1286,1100,1180,1186,1200,1138,1168,1186,1150,1186,1180,790,700,650,500,1186,660,1500,1186,1200,1186,1186,1186
60,Proboscis monkey,60.png,0,1460,900,1200,1200,1000,1186,1000,550,1200,1460,799,1100,1200,400,690,450,1186,345,1186,700,850,760,1180,1045,1500,1200,1000,1000,1180,2190,1400,870,1400,1200,1100,990,1200,1200,670,500,850,1300,720,1000,1000,300,1200,166,1500
61,Japanese macaque,61.png,0,1483,1200,1200,1300,1000,432,1460,590,1100,1186,1186,1100,900,1000,1358,1500,1186,543,1186,530,650,987,1200,675,400,1200,1200,1200,1180,1560,1200,850,1324,1240,899,1190,1180,1200,700,650,780,1200,1200,800,1186,670,1200,1432,1300
62,Gorilla,62.png,0,2829,3000,2000,1800,600,324,3650,2200,1100,2190,2000,2865,1200,1200,1372,3000,1460,1200,1186,1400,600,1237,4500,2096,3400,1200,1400,1500,2000,4300,1200,2800,3500,1800,4500,1600,1200,1550,800,3500,2100,1500,1020,2000,2000,1500,1200,2555,3000
63,Chimpanzee,63.png,0,3376,1200,1200,1200,1500,654,3650,800,1300,2920,1200,1300,1200,800,937,5000,1186,1076,1186,1500,1470,970,4000,1485,2877,1200,1300,2340,1186,3650,1200,1350,1400,1400,3500,1600,1200,1475,700,700,1290,1186,4000,2000,1500,1200,1200,4756,3000
64,Orangutan,64.png,0,2555,3000,1500,2500,1500,1114,1095,2000,1300,4018,2000,3460,1200,2000,1258,2500,1186,876,1186,900,1450,1270,4000,2408,1278,1200,1500,1300,2000,4320,1200,4243,3400,1400,3000,3880,1200,1400,780,700,1400,1180,2800,2000,2000,1600,1400,3000,3000
65,Brown lemur,65.png,0,509,230,600,250,350,400,550,900,300,365,400,650,350,1000,625,750,480,420,550,540,410,234,600,254,1200,550,300,320,380,800,320,756,456,300,300,440,550,400,700,350,560,780,360,600,340,400,800,750,1200
66,Black lemur,66.png,0,540,300,900,550,500,432,730,550,1258,730,900,920,300,400,842,365,290,1120,550,700,500,244,550,640,578,550,300,230,1200,730,399,540,560,600,1600,1000,380,600,700,350,785,1400,490,150,2000,400,1100,730,1200
67,Ring-tailed lemur,67.png,0,595,550,1100,1200,500,421,730,450,1200,730,500,680,400,500,582,850,380,145,550,690,550,430,550,339,1100,3090,360,340,500,980,2000,450,400,700,350,560,550,750,700,350,530,300,450,600,300,700,500,750,500
68,Slender loris,68.png,1,380,380,380,390,380,380,380,350,380,380,380,336,286,400,380,250,380,380,380,500,380,380,383,380,360,380,480,320,380,380,380,368,450,380,380,380,380,570,152,380,520,380,380,300,380,380,380,380,380
69,white-faced saki,69.png,0,775,900,370,1200,500,123,240,450,500,1227,500,450,300,700,735,300,290,163,296,750,450,417,2800,364,1180,380,1200,1100,1000,1400,250,870,685,400,1105,670,1200,400,700,500,750,589,250,1000,399,300,600,1460,500
70,African bush elephant,70.png,1,4018,4000,4000,4050,4018,876,4018,4018,4018,4018,4018,4018,4018,4000,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,4000,4018,4018,4000,4018,4018,4018,999,4018,4018,4815,4000,4018,4018,4018,4090,4018,4018,4018,4018,4018,4018
71,Naked mole-rat,71.png,0,228,150,150,250,250,890,180,168,300,180,200,40,150,120,452,500,290,120,90,250,200,320,400,182,340,300,150,234,200,680,300,140,150,300,1987,22,152,180,220,250,246,360,360,160,100,300,300,200,300
72,Guinea pig,72.png,0,66,150,90,120,100,342,60,250,130,50,110,320,150,200,273,450,70,250,180,250,240,210,360,174,396,1200,200,230,380,90,1200,435,299,800,450,21,236,150,270,180,501,200,350,200,340,250,1000,566,200
73,Degu,73.png,0,182,200,90,30,150,570,150,150,250,152,90,243,50,200,211,200,150,164,152,150,200,147,120,132,296,250,150,2300,400,180,300,234,143,200,140,119,150,145,260,120,412,52,260,136,200,235,300,345,230
74,Lesser Egyptian jerboa,74.png,0,327,150,100,100,150,114,90,150,250,90,170,140,150,100,372,250,189,120,152,200,255,142,200,270,138,550,152,220,152,155,300,200,238,160,150,39,152,90,180,150,240,150,360,123,100,150,700,40,300
75,Long-tailed field mouse,75.png,0,71,150,90,50,100,213,130,150,250,62,100,158,50,200,126,200,200,140,152,250,150,110,180,146,140,120,150,220,230,50,450,135,234,200,120,88,152,60,180,150,120,57,250,150,154,120,300,35,200
76,Nutria,76.png,1,152,152,152,152,150,152,152,196,152,152,152,152,152,200,196,152,152,152,152,152,155,152,140,152,152,120,152,260,152,152,120,152,152,152,152,152,152,152,220,152,158,152,360,150,152,152,152,152,152
77,Eurasian red squirrel,77.png,1,296,280,300,300,295,296,296,296,296,296,296,365,280,300,196,280,296,2956,296,550,296,296,236,370,236,230,380,260,296,296,230,550,550,296,296,300,296,150,250,296,536,296,296,320,296,280,296,296,296
78,Siberian chipmunk,78.png,0,350,230,200,400,100,230,150,250,350,296,300,160,230,200,198,250,365,156,550,200,250,159,300,280,196,300,150,250,230,240,400,230,340,300,299,180,152,150,300,180,350,150,250,200,120,290,300,365,200
79,Dugong,79.png,0,3470,1200,1900,500,2000,765,3650,2300,2500,9092,1500,2678,300,2000,1145,2000,296,124,2831,2590,400,789,600,2418,1683,1200,400,2600,2000,4500,400,2040,1500,500,1567,1230,2000,700,3000,650,2100,760,450,1000,1500,1300,2500,390,3000
80,Asiatic elephant,80.png,0,3287,4000,4000,4000,4000,4018,5475,4020,4018,4018,4000,4018,4000,4000,4018,4000,4018,4112,4018,4000,6000,3876,4018,4020,4018,4000,4018,4000,4175,4300,4000,3564,3980,4018,4000,3500,4018,3700,4000,4000,4300,3600,4090,3800,4000,4100,4100,3600,4018
