ID;item;crit;img;training;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
1;China;78;c_1.png;0;-0,195777971;0,351923291;-0,148973363;0,491946922;0,360079105;-0,111223619;-0,218834844;-0,208312471;-0,266884667;-0,01096961
2;India;72,2;c_2.png;0;0,0328782;0,320295433;-0,119974838;0,440877423;0,41264122;0,111822537;-0,039847831;0,129528857;-0,212480416;-0,295114872
3;United States;79,5;c_3.png;0;-0,528392998;-0,058236756;0,048887059;-0,207149312;0,237762201;0,456764718;-0,154473466;-0,124990622;-0,205178134;0,055065151
4;Nigeria;54,6;c_4.png;1;0,456580754;0,437979057;-0,053558532;-0,379796816;0,075442982;0,10056017;0,006091809;-0,008254022;-0,136477746;0,032607017
5;Brazil;76;c_5.png;0;-0,025938525;-0,363749364;-0,445680054;-0,121965698;0,104104485;0,046055186;-0,129025692;0,135959112;-0,073909269;0,040447395
6;Russia;73,3;c_6.png;0;-0,536026973;0,361608611;-0,112495399;0,078900952;-0,227517286;-0,075603342;0,089565478;-0,216212856;-0,342348279;-0,002699503
7;Mexico;75,3;c_7.png;0;-0,083645645;-0,382651983;-0,387894938;-0,081531212;-0,017413319;0,249984844;-0,136249384;0,022157672;-0,069526066;0,078111205
8;Ethiopia;67,6;c_8.png;0;0,424008204;0,458064239;-0,077549143;-0,222159881;-0,01024931;0,097052689;0,191426641;0,072609548;0,000095548;-0,206283337
9;Egypt;71,8;c_9.png;1;0,208913354;0,501959343;-0,132380078;-0,082583025;-0,232213865;0,224352852;-0,018034474;0,307440765;0,027011697;-0,107034874
10;Vietnam;74,7;c_10.png;0;-0,106618188;0,228305989;-0,170530231;0,500412946;0,205536902;-0,09845929;-0,084130103;-0,413067643;-0,003486182;-0,043371641
11;Democratic Republic of the Congo;62,1;c_11.png;0;0,461894343;0,316634053;-0,005250697;-0,427596256;-0,03161279;-0,037539815;0,022026318;-0,124349669;-0,07973184;-0,085530027
12;Germany;81,5;c_12.png;0;-0,724402107;0,181457453;0,116301743;-0,193379856;0,005004656;-0,053533365;0,013634915;-0,071021932;-0,079340932;0,080256334
13;Iran;77,8;c_13.png;0;-0,048381485;0,517145152;-0,260834456;0,339505258;-0,316642469;0,37519497;0,024347074;0,101169922;0,034858848;-0,08106091
14;France;83,5;c_14.png;1;-0,574085557;0,10140973;0,171330065;-0,366062383;0,036214;-0,100513783;-0,208241126;0,032506317;0,108675811;0,048465479
15;South Africa;66,3;c_15.png;0;0,295416844;0,282590893;0,078724555;-0,43773794;0,220050411;0,019646984;0,042447957;0,093439214;-0,28260188;-0,024454233
16;Tanzania;67,2;c_16.png;0;0,35145884;0,296067795;0,053875814;-0,368290017;0,10845034;-0,095344875;0,242501425;0,135887631;-0,146231823;0,036825497
17;Colombia;77,9;c_17.png;1;-0,018184613;-0,31834346;-0,469024101;-0,174544455;0,055000455;0,038326045;0,09565477;-0,113160059;-0,006319104;0,104622905
18;Argentina;77,5;c_18.png;0;-0,204420509;-0,364893774;-0,361873669;-0,145954843;0,078055465;-0,026540432;-0,04690136;0,222490074;0,136742998;0,04100055
19;Canada;82,7;c_19.png;0;-0,562461087;0,022796552;0,146841065;-0,235079579;0,274328537;0,393517717;0,02225606;-0,038366313;-0,149468123;-0,137554753
20;Ukraine;72;c_20.png;0;-0,529791032;0,304460111;-0,098154377;0,058626982;-0,328603596;-0,122773939;0,19601463;-0,31554579;-0,036527419;0,096022066
21;Angola;64,8;c_21.png;0;0,357148072;0,415379045;-0,121498006;-0,326791255;0,028528863;-0,211607399;-0,143262513;-0,078095065;0,01427312;0,097312823
22;Peru;77,9;c_22.png;0;-0,047318974;-0,33599997;-0,43611459;0,036888805;0,086203535;-0,044276121;0,00732504;0,177361913;0,05564381;-0,131656564
23;Yemen;69,4;c_23.png;0;0,088213208;0,431990165;-0,209912503;0,360271905;-0,312886982;0,251947466;-0,060715751;0,046141581;0,105190197;0,094082567
24;Ivory Coast;62,1;c_24.png;0;0,393575597;0,170200683;0,173752842;-0,427797816;0,100581627;0,095639247;-0,083593576;-0,133842124;0,012230468;0,131090998
25;Nepal;70,6;c_25.png;0;0,004906649;0,24300974;-0,169929382;0,409392;0,328612906;-0,193725396;0,000741774;0,237524074;-0,19674265;-0,044162352
26;Venezuela;72,7;c_26.png;0;0,050049475;-0,314056116;-0,445535065;-0,070338506;0,072080232;0,028838127;0,062798313;-0,063896716;-0,17248152;-0,085230639
27;Australia;84,1;c_27.png;0;-0,475486034;-0,065726857;0,348307612;-0,059238284;0,345975502;0,30135263;0,104507512;0,005272381;-0,054104764;0,084458579
28;Taiwan;80,9;c_28.png;0;-0,100500014;0,179158302;0,061243477;0,517008671;0,340665397;0,007278338;-0,144080267;-0,349309153;0,209459678;0,098348586
29;Syria;72,6;c_29.png;0;0,023927014;0,524838183;-0,214210803;0,25286646;-0,436333178;0,213920865;0,060343622;0,082726763;0,167514077;0,076441998
30;Burkina Faso;61,3;c_30.png;0;0,401593605;0,306055744;0,106710245;-0,337095561;0,179809255;-0,23254981;-0,210109729;-0,053894373;0,015529834;-0,101566913
31;Chile;81,4;c_31.png;0;-0,101738964;-0,282494416;-0,444547641;-0,042737265;0,184511664;0,006947033;0,066797026;0,124368832;0,129701618;0,188243024
32;Netherlands;82,3;c_32.png;0;-0,668341312;0,07845587;0,195859936;-0,238617555;0,145154939;-0,064169365;0,08091714;-0,100938812;0,220155277;0,057146858
33;Ecuador;77,6;c_33.png;0;0,047889241;-0,350939171;-0,42948738;-0,087473908;-0,00334459;0,047387582;0,060102634;-0,002938481;0,196087164;0,005262464
34;Benin;61;c_34.png;0;0,319716296;0,359443782;0,061132293;-0,34199474;0,031297176;0,01986174;0,093311146;-0,31452346;0,244549361;0,097623559
35;Bolivia;68,7;c_35.png;0;-0,078564545;-0,212593985;-0,495477156;-0,045546236;-0,041365178;-0,282758589;0,057189575;0,012719096;0,088730714;0,015513722
36;Papua New Guinea;66,3;c_36.png;0;0,321972689;-0,128445886;0,212573008;-0,062653596;0,255218392;-0,15537922;0,101285401;0,107387358;0,070105955;0,301292784
37;Haiti;65,1;c_37.png;0;0,294107682;-0,224327035;0,037666531;0,067284352;-0,165205861;0,022476096;-0,018439152;-0,382464866;0,052839858;0,182261748
38;Cuba;78,3;c_38.png;0;0,12260647;-0,382711168;-0,24723057;0,026375223;-0,082844964;0,233542454;-0,037952549;-0,07744236;-0,05544944;-0,130512827
39;Greece;82;c_39.png;0;-0,500550431;0,03583874;0,124207922;-0,097755187;-0,190495526;-0,249298522;-0,014048975;0,35830455;0,05893467;-0,162373559
40;Honduras;73;c_40.png;0;0,097463781;-0,365510277;-0,312979579;0,059573166;-0,079960065;-0,057705103;-0,079753788;-0,17346906;0,130496777;0,065505666
41;United Arab Emirates;83,1;c_41.png;0;-0,091161111;0,396957584;-0,02158216;0,25208118;-0,214679561;0,546578392;-0,163509091;0,266438139;0,079367859;0,089744041
42;Libya;71,1;c_42.png;0;0,251936447;0,576376804;-0,179877874;-0,100940836;-0,277990581;0,208200898;0,018195651;-0,021561524;0,090833466;0,15830837
43;El Salvador;72,3;c_43.png;0;0,09645288;-0,416282332;-0,326574838;-0,000216229;-0,017633212;-0,016318645;0,078733822;0,022196493;0,02189613;0,21759275
44;Serbia;76,9;c_44.png;0;-0,395217494;0,258990102;-0,080336512;-0,007767947;-0,345147276;-0,353296409;0,195472774;-0,126879383;-0,12590302;0,165798224
45;Paraguay;74;c_45.png;0;-0,086838435;-0,307992297;-0,430579716;-0,097238839;0,062241387;0,077354039;0,22544124;0,032342557;0,12657655;-0,077365698
46;Ireland;82,6;c_46.png;0;-0,603847018;0,096870513;0,28347608;-0,273428668;0,00969257;0,220912529;-0,087253239;-0,15557791;0,180933265;-0,158141255
47;New Zealand;82;c_47.png;0;-0,37751516;-0,069176805;0,386057929;-0,129178859;0,289559796;0,172533953;0,16974859;0,176470088;-0,010239683;0,241882058
48;Costa Rica;81;c_48.png;1;0,094817357;-0,457289611;-0,208327956;-0,130453244;0,032659929;0,101344186;-0,116273016;0,038481024;-0,009429343;-0,090144788
49;Croatia;78,8;c_49.png;0;-0,540626734;0,098568369;-0,010998262;-0,130381708;-0,33291836;-0,243963813;0,215699072;0,047387799;0,090183994;0,054587953
50;Mongolia;72;c_50.png;1;-0,06062965;0,287155552;-0,18863083;0,284854274;0,193966528;-0,39062504;-0,116669524;0,004393534;-0,278196039;0,150605399
51;Uruguay;78,3;c_51.png;1;-0,100066201;-0,282599615;-0,511698931;-0,097437436;0,168893862;-0,0579235;0,153017317;0,151832765;-0,067373675;-0,017373452
52;Jamaica;71,6;c_52.png;1;0,308804253;-0,307732859;0,173860558;-0,131944274;-0,180848354;0,145981301;-0,258248811;-0,241392095;-0,079238543;-0,065592818
53;Moldova;71,3;c_53.png;0;-0,193546565;0,08110811;-0,029089609;-0,014910095;-0,389400036;-0,300328437;0,201565984;0,061964515;-0,348691957;-0,214793583
54;Lesotho;57,8;c_54.png;0;0,282132554;0,286978814;0,090535323;-0,287408164;0,276326744;-0,206807436;0,036650019;0,061579663;0,303875295;-0,214992069
55;Guinea-Bissau;64,3;c_55.png;0;0,468312901;0,20864046;0,069469915;-0,260546539;0,031776655;-0,160002928;-0,17604089;0,083930801;0,058986592;0,184149532
56;Trinidad and Tobago;73,6;c_56.png;0;0,32878764;-0,283274139;0,153837872;0,03510536;-0,097341121;0,00999854;-0,090388126;-0,086295797;-0,296167413;-0,058557446
57;Fiji;67,5;c_57.png;0;0,209282798;-0,293543737;0,366572176;0,202313094;0,083271428;0,141580239;0,077906417;0,005548024;0,152985619;0,092304431
58;Bhutan;73,3;c_58.png;0;0,077111206;0,252102106;0,018781299;0,428228059;0,246818588;-0,126380221;-0,31732092;0,136936798;0,145351506;-0,222905981
59;Guyana;70,3;c_59.png;1;0,294400221;-0,141132795;-0,098508014;0,072889187;-0,00047733;0,091955663;0,104334114;-0,346827343;0,034899516;-0,293306511
60;Solomon Islands;70,7;c_60.png;0;0,114153681;-0,321274663;0,446548571;0,171478658;-0,132201587;0,010555621;0,155147178;0,04041443;0,088095595;-0,133416215
61;Suriname;73,8;c_61.png;0;0,171990342;-0,012702545;-0,080831819;0,122509778;0,013028631;-0,138366286;-0,216272357;-0,273426015;0,334670647;-0,395008236
62;Brunei;75,5;c_62.png;1;0,082592476;0,236385913;-0,005761359;0,316198313;0,141735806;0,041999287;-0,341773683;0,224960844;0,246138045;0,279258079
63;Iceland;83;c_63.png;0;-0,564018055;0,094118098;0,263370905;-0,230318635;0,147383062;-0,10274938;0,260791097;0,023416055;0,17051053;-0,303823077
64;Maldives;81,3;c_64.png;0;0,125646324;-0,244329869;0,337322392;0,20059757;-0,089649275;0,110142407;0,174947252;0,323836102;-0,274980923;-0,109617803
65;Sao Tome and Principe;69,9;c_65.png;0;0,301271337;-0,174123711;0,131225861;-0,014955335;-0,220332796;-0,242341983;-0,242360932;0,07535247;-0,144615867;-0,271703786
66;Samoa;71,8;c_66.png;0;0,2398977;-0,168482614;0,249137637;0,262708203;0,084318322;0,016531021;0,184654384;-0,061021428;0,029762753;0,382628173
67;Saint Lucia;72,8;c_67.png;0;0,093021505;-0,400889333;0,296679888;0,050963233;-0,203333689;0,040001788;-0,221985505;-0,055499103;-0,095258551;0,092716886
68;Saint Vincent and the Grenadines;71,4;c_68.png;0;0,086498679;-0,324643161;0,367240529;-0,030397242;-0,318313867;0,088008972;-0,126174835;-0,148497487;0,055543193;-0,084513554
69;Seychelles;73;c_69.png;0;0,157760818;-0,16471932;0,38024673;-0,020299038;-0,035059614;0,219520786;-0,146856455;0,375188936;-0,08028158;-0,179502882
70;Tonga;73,1;c_70.png;0;0,342262074;-0,068966605;0,290758259;0,138757119;-0,002466784;-0,021769068;0,120297898;0,024921149;-0,342091532;0,281995194
71;Dominica;71,3;c_71.png;0;0,112767271;-0,427001756;-0,014698476;-0,029787733;-0,207173031;0,034098201;0,002764296;-0,180399514;-0,139937835;-0,069707784
72;Saint Kitts and Nevis;72,3;c_72.png;0;0,047828366;-0,291740155;0,426280664;0,103488314;-0,13405829;0,008684213;-0,118741763;-0,130222364;-0,280526571;-0,048791445
73;Marshall Islands;67,1;c_73.png;0;0,01469188;-0,255653777;0,51252011;0,140203817;-0,138365592;-0,042258425;-0,086797549;-0,03870506;0,273565817;0,06560945
74;San Marino;85,8;c_74.png;0;-0,228868757;-0,298902688;0,060226521;0,006224348;-0,294039193;-0,192254238;-0,362111856;0,243953953;0,029047445;0,04134459
75;Palau;69,4;c_75.png;0;0,148472345;-0,100123737;0,180210432;0,273275154;-0,073725168;-0,384328034;0,158685272;0,294545838;0,077237457;0,08520396
76;Cook Islands;75,5;c_76.png;1;0,068857058;-0,323000579;0,448359277;0,228284692;0,161832077;-0,1584736;0,123324858;-0,020081802;0,047991834;-0,104384125
77;Nauru;62,3;c_77.png;0;0,223090671;-0,049326414;0,158317802;0,199943678;-0,026103315;-0,014500862;0,426084396;0,170555968;0,350591249;0,031700966
78;Tuvalu;67,3;c_78.png;0;0,182550956;-0,013578637;0,179665315;0,254922962;0,058584291;0,03470586;0,487256215;-0,064123678;-0,106137014;0,291488765
79;Niue;70,1;c_79.png;1;0,062307178;0,009557849;0,152658861;0,28748343;0,042080476;-0,017454002;0,421962757;-0,094694285;0,135654586;-0,416075969
80;Vatican City;83,1;c_80.png;0;-0,389057096;0,038285744;0,197817836;-0,102959486;-0,107533386;-0,280013891;-0,617493735;0,117657028;0,044833376;0,164367291
