domain;ID_n;best_mod_ind;best_mod_pmp;best_mod;ID
Food;1;2;0,394553720951080;CAM;qza2yw7qkddd
Food;2;2;0,909179747104645;CAM;wdqr0khtrkyu
Food;3;4;0,997285485267639;MAPP;puwl4gv8w7xv
Food;4;3;0,520224988460541;GCM;i636fcg5x0fy
Food;5;2;0,920652985572815;CAM;mcvs1zmkool3
Food;6;2;0,578662037849426;CAM;s1u4m0v2txtl
Food;7;2;0,630149364471436;CAM;18wkffvb0nro
Food;8;2;0,393722414970398;CAM;69o8no5c4w02
Food;9;2;0,928233742713928;CAM;4exoqp2hez7x
Food;10;1;0,899986624717712;RULEXJ;zh2xzi9fyij8
Food;11;3;0,874370753765106;GCM;zri7kdb5djgr
Food;12;2;0,874417960643768;CAM;38b8w4u86tp9
Food;13;3;0,378092378377914;GCM;jxoeol64n5hz
Food;14;2;0,924017131328583;CAM;02m3zllu1k3s
Food;15;3;0,978208482265472;GCM;5cbmft08cq03
Food;16;6;0,998713970184326;RGUESS;794b9v70hot7
Food;17;6;0,997963070869446;RGUESS;oiytkamz9b68
Food;18;1;0,878559768199921;RULEXJ;5pcezz7727ha
Food;19;6;0,767009496688843;RGUESS;8w65x3973yxq
Food;20;6;0,993871808052063;RGUESS;luaevzlbbjwo
Food;21;3;0,974953711032867;GCM;scj4c0vnxtir
Food;22;6;0,957391083240509;RGUESS;nvvgggjd4479
Food;23;1;0,352025836706161;RULEXJ;wniu05cydgfm
Food;24;6;0,411729991436005;RGUESS;ny6bqxvzzhx5
Food;25;2;0,523114562034607;CAM;gmz56it2g8ek
Food;26;3;0,422825127840042;GCM;bkehq8h4kqck
Food;27;1;0,478958457708359;RULEXJ;hsb8a87w94ei
Food;28;6;0,988199710845947;RGUESS;3xydkhwxmmdm
Food;29;1;0,813176691532135;RULEXJ;lqga75g2fj41
Food;30;1;0,498219996690750;RULEXJ;9y1vmy0rnmss
Food;31;6;0,370263665914536;RGUESS;9oddgxwo9c9c
Food;32;3;0,916974246501923;GCM;drqmw5inbe0l
Food;33;1;0,688232302665710;RULEXJ;xyjesk589j31
Food;34;6;0,685138761997223;RGUESS;5mutbqbcfxkj
Food;35;3;0,831467986106873;GCM;2uo14k0xw9m4
Food;36;2;0,826338112354279;CAM;kiz0e74wvrz6
Food;37;3;0,871175944805145;GCM;hs7xjpxwqzoz
Food;38;6;0,988827586174011;RGUESS;t7nnzue0eo9u
Food;39;1;0,635806679725647;RULEXJ;l8ezhyyp325m
Food;40;2;0,710201382637024;CAM;5cib5ha5gyup
Food;41;3;0,781710565090179;GCM;0ba3662lv6vw
Food;42;2;0,897701919078827;CAM;ce75nokgote6
Food;43;3;0,388691216707230;GCM;tjoc8yv4kf4o
Food;44;1;0,513774812221527;RULEXJ;lhm6c5m9odj9
Food;45;3;0,377591490745544;GCM;nyo8d8p2ok0i
Food;46;3;0,656612157821655;GCM;j4tufliz4ct6
Countries;1;1;0,624933362007141;RULEXJ;n11xewpgbxj4
Countries;2;1;0,911302626132965;RULEXJ;munr1sh9ezc8
Countries;3;1;0,528553605079651;RULEXJ;7k1k3a6issm1
Countries;4;1;0,898525297641754;RULEXJ;4n5e6nkj21xl
Countries;5;1;0,575592398643494;RULEXJ;k5d1wxxqlmni
Countries;6;1;0,438639700412750;RULEXJ;xwvj2v8391m1
Countries;7;3;0,875014364719391;GCM;x7t9moqpn7du
Countries;8;3;0,874610781669617;GCM;cu4jzug5dshc
Countries;9;3;0,671405732631683;GCM;p1zg6qqoufvv
Countries;10;1;0,969359815120697;RULEXJ;wlfzyxtuin3l
Countries;11;3;0,591402292251587;GCM;hpajcjzog48v
Countries;12;1;0,961840391159058;RULEXJ;dlan9mr2iku8
Countries;13;3;0,578109502792358;GCM;8xw3ufhwbsme
Countries;14;1;0,922527790069580;RULEXJ;7bagakupy07m
Countries;15;3;0,842385590076447;GCM;jlx0jreulovy
Countries;16;1;0,982178986072540;RULEXJ;kp76hw01z3b2
Countries;17;1;0,555453181266785;RULEXJ;f52y9ezjwc9h
Countries;18;3;0,610998868942261;GCM;ev2fnz9nxtx2
Countries;19;1;0,926814854145050;RULEXJ;nfd8u3q7kdlu
Countries;20;1;0,989459156990051;RULEXJ;mq9p1a54t26w
Countries;21;1;0,970437943935394;RULEXJ;svdxe9n1f3ku
Countries;22;1;0,969574213027954;RULEXJ;6p84ypzofiiy
Countries;23;6;0,740196347236633;RGUESS;15er40f6hrc7
Countries;24;1;0,875562429428101;RULEXJ;1jyepxdsepby
Countries;25;1;0,511024951934814;RULEXJ;un90iavtgolm
Countries;26;1;0,620878517627716;RULEXJ;8xds32cqrhlg
Countries;27;3;0,916653633117676;GCM;830wmzipl92b
Countries;28;3;0,888681828975677;GCM;ap09bdriiaxs
Countries;29;1;0,986415088176727;RULEXJ;f7wkplh1kr5z
Countries;30;3;0,588383615016937;GCM;rj8dmpyn2563
Countries;31;3;0,835887551307678;GCM;1r4upum7lxhi
Countries;32;1;0,959555089473724;RULEXJ;j76opfa4wjzj
Countries;33;3;0,842564105987549;GCM;efuhrzbhjnwg
Countries;34;1;0,937351644039154;RULEXJ;nkfzm8e0mtcu
Countries;35;4;0,986160099506378;MAPP;6pjob01zppal
Countries;36;6;0,601800024509430;RGUESS;19x6o075e4oy
Countries;37;4;0,647081077098846;MAPP;ovd5s5i79kru
Countries;38;1;0,833059847354889;RULEXJ;a1yt5ymbgc4m
Countries;39;3;0,868327856063843;GCM;1nziths5mtj0
Countries;40;1;0,684878468513489;RULEXJ;oi136bu0srj9
Countries;41;1;0,564884066581726;RULEXJ;i6xr02yzsoee
Countries;42;3;0,698239564895630;GCM;8pxa6oh4ylfk
Countries;43;3;0,329273849725723;GCM;5p4nqbumcod1
Countries;44;1;0,918370842933655;RULEXJ;nxibx285n3rn
Countries;45;3;0,857351183891296;GCM;kesc2p7oa7me
Countries;46;3;0,730712771415710;GCM;okeobbnlodto
Countries;47;1;0,820702850818634;RULEXJ;sbydcgc89frj
Countries;48;2;0,733252942562103;CAM;vzgw3yufjpr4
Mammals;1;4;0,944619536399841;MAPP;chp46vl70814
Mammals;2;3;0,814252674579620;GCM;apzvrxiaap22
Mammals;3;3;0,809521257877350;GCM;dp0g9nbjr8wo
Mammals;4;3;0,949659705162048;GCM;ch1i36lf3gb1
Mammals;5;1;0,732844948768616;RULEXJ;mrb0s0ckbda9
Mammals;6;3;0,989683628082275;GCM;bkl2178x4saf
Mammals;7;3;0,965037643909454;GCM;s8hbr6g15kfh
Mammals;8;3;0,947163343429565;GCM;6wstjp4wezt4
Mammals;9;1;1,000000000000000;RULEXJ;9ohtsd1826k8
Mammals;10;3;0,834477186203003;GCM;p4km3aw4hdmt
Mammals;11;3;0,929023027420044;GCM;rixs8hohxtip
Mammals;12;3;0,793720960617065;GCM;d363es3nvfvq
Mammals;13;3;0,918040990829468;GCM;t6pxayhn7es0
Mammals;14;3;0,928774654865265;GCM;p8j3krfjtc18
Mammals;15;3;0,674819409847260;GCM;45v39tkqnh0b
Mammals;16;3;0,924428820610046;GCM;u9zfucz7zuwn
Mammals;17;3;0,517362117767334;GCM;oszy5gk8fkit
Mammals;18;3;0,896586418151855;GCM;4onztfuwyeet
Mammals;19;3;0,914431452751160;GCM;cpgixk1g8s99
Mammals;20;4;0,999452888965607;MAPP;wq9cvsm023n7
Mammals;21;3;0,914924204349518;GCM;uxc38enxb0sl
Mammals;22;4;0,999826014041901;MAPP;mo6b50e8cl78
Mammals;23;3;0,948401749134064;GCM;hzeafke8f5ke
Mammals;24;6;0,740871071815491;RGUESS;mr8c5sfjy7bc
Mammals;25;3;0,531454265117645;GCM;9g1zjvfjm5ie
Mammals;26;4;0,506980597972870;MAPP;9y9ydj97huhc
Mammals;27;3;0,927481174468994;GCM;tcrqt6ih5i2s
Mammals;28;3;0,916936755180359;GCM;pq5u101ioebi
Mammals;29;1;0,512184083461761;RULEXJ;jpx3htsbrf1n
Mammals;30;4;0,999942421913147;MAPP;bx2kflenfbbi
Mammals;31;4;0,871632993221283;MAPP;dm6c9jbelxv7
Mammals;32;6;0,967258453369141;RGUESS;34tcwd0j5qgq
Mammals;33;3;0,850630819797516;GCM;uyfz2oyo6483
Mammals;34;4;0,707760453224182;MAPP;xic5dq81cqld
Mammals;35;3;0,877622187137604;GCM;m7iifwqavf3f
Mammals;36;3;0,926181256771088;GCM;exre9dksey03
Mammals;37;3;0,758557140827179;GCM;yz6r3zc0isf5
Mammals;38;3;0,952651143074036;GCM;8f6bbs5a58p2
Mammals;39;4;0,920493185520172;MAPP;0xhc0yxm5czl
Mammals;40;3;0,886377632617950;GCM;uh7i5dewrmic
Mammals;41;3;0,755193829536438;GCM;wl5925o0j4iv
Mammals;42;6;0,897073805332184;RGUESS;a3eokjk1z75r
Mammals;43;3;0,882832765579224;GCM;tk04u7pmrsvp
Mammals;44;3;0,852368116378784;GCM;s2edlrqnhaz8
Mammals;45;3;0,816405713558197;GCM;2qewr80masfh
Mammals;46;3;0,943870961666107;GCM;xhkz4vsry78k
Mammals;47;4;0,943353176116943;MAPP;rsulb3mqq6p4
Mammals;48;3;0,979597032070160;GCM;u13d9hi208ge
